city_code,name,state,district_code,lat,lon,population,feature_code,absorbed_places
HAB,Hābra,West Bengal,337,22.84202,88.65606,139297,PPL,0
KOL4,Kolār,Karnataka,581,13.13768,78.12999,138462,PPL,0
SRI3,Srikakulam,Andhra Pradesh,542,18.2989,83.89751,137944,PPL,0
MAN4,Mandya,Karnataka,573,12.5223,76.89746,137358,PPL,0
MAD4,Madhurampur Dehri,Bihar,234,24.96899,84.1964,137231,PPL,0
KAN4,Kānchrāpāra,West Bengal,336,22.95998,88.42849,136954,PPL,0
DIM,Dimāpur,Nagaland,265,25.91174,93.7217,135860,PPL,0
MAL3,Māler Kotla,Punjab,737,30.5309,75.87949,135424,PPL,0
SIW,Siwān,Bihar,218,26.22096,84.35609,135066,PPL,0
KAL4,Kalol,Gujarat,473,23.24656,72.49508,134426,PPL,0
BAN2,Bānkura,West Bengal,339,23.23241,87.0716,133966,PPL,0
PAT4,Pātan,Gujarat,470,23.8507,72.12963,133737,PPL,0
GON,Gondā City,Uttar Pradesh,183,27.13181,81.95332,133583,PPL,0
DHA2,Dhaulpur,Rajasthan,106,26.69286,77.87968,133075,PPL,0
GON2,Gondiā,Maharashtra,507,21.46026,80.19205,132813,PPL,0
PAL4,Palakkad,Kerala,593,10.77319,76.65366,132728,PPL,0
BET,Bettiah,Bihar,203,26.80229,84.50311,132209,PPL,0
PAL5,Palwal,Haryana,089,28.14469,77.32546,131926,PPL,0
RAN3,Rānīganj,West Bengal,704,23.6164,87.13061,131261,PPL,0
ETA2,Etah,Uttar Pradesh,201,27.55879,78.65692,131023,PPL,0
PIL,Pīlibhīt,Uttar Pradesh,151,28.63124,79.80436,131008,PPL,0
RAJ5,Rajapalayam,Tamil Nadu,625,9.45296,77.55335,130442,PPL,0
BOT,Botad,Gujarat,676,22.16917,71.66671,130327,PPLA2,0
DEO3,Deoria,Uttar Pradesh,190,26.50167,83.77936,129570,PPL,0
NIM,Nimach,Rajasthan,,24.45949,74.86625,128561,PPL,0
KHA4,Khardah,West Bengal,337,22.71861,88.37806,128346,PPL,0
YAV,Yavatmāl,Maharashtra,510,20.39324,78.13201,128175,PPL,0
HAL3,Hālīsahar,West Bengal,337,22.93218,88.41859,128172,PPL,0
KHA5,Khanna,Punjab,041,30.70547,76.22196,128137,PPL,0
TIT,Titāgarh,West Bengal,337,22.74252,88.37326,127751,PPL,0
HAT,Hāthras,Uttar Pradesh,144,27.59551,78.05201,126882,PPL,0
JOR,Jorhat,Assam,312,26.75751,94.20306,126736,PPL,0
LAL,Lalitpur,Uttar Pradesh,167,24.69007,78.41915,126475,PPL,0
GUN4,Guntakal,Andhra Pradesh,553,15.17112,77.36244,126270,PPL,0
PIT,Pithampur,Madhya Pradesh,439,22.60197,75.69649,126200,PPL,0
MOT,Mothīhāri,Bihar,204,26.64862,84.91656,126158,PPL,0
KAN5,Kanhangad,Kerala,588,12.30814,75.10632,125564,PPL,0
JAG,Jagdalpur,Chhattisgarh,414,19.08136,82.02131,125463,PPL,0
