city_code,name,state,lat,lon,population,zone_count,service_radius_km,modelled_population,retention,area_km2,pipe_length_km
ONG,Ongole,Andhra Pradesh,15.50357,80.04454,208344,9,2.902,208344,1.0,18.95,208.48
HOS2,Hosapete,Karnataka,15.26954,76.3871,206167,9,2.89,206169,1.0,18.79,206.51
NAN3,Nāngloi Jāt,Delhi,28.67957,77.06799,205596,2,2.886,34266,0.167,4.17,42.66
SEC,Secunderabad,Telangana,17.50427,78.54263,204182,9,2.878,204180,1.0,18.64,204.76
DEO,Deoghar,Jharkhand,24.48983,86.69902,203123,9,2.872,203122,1.0,18.56,203.82
CHA3,Chāpra,Bihar,25.78031,84.74709,202352,9,2.867,202351,1.0,18.5,203.15
KHA2,Khandwa,Madhya Pradesh,21.82427,76.35086,200738,9,2.857,200739,1.0,18.37,201.72
PUR2,Puri,Odisha,19.79825,85.82494,200564,9,2.856,200566,1.0,18.36,201.54
MOR3,Morena,Madhya Pradesh,26.49892,77.99534,200482,9,2.856,200482,1.0,18.35,201.49
GYA,Gyānpur,Uttar Pradesh,25.33268,82.46637,200000,9,2.853,199999,1.0,18.32,201.09
BUL,Bulandshahr,Uttar Pradesh,28.40392,77.85773,198612,8,2.845,198612,1.0,16.18,183.64
BHI4,Bhind,Madhya Pradesh,26.56671,78.78728,197585,8,2.839,197588,1.0,16.11,182.8
KHA3,Khammam,Telangana,17.24767,80.14368,196283,8,2.831,196284,1.0,16.02,181.72
SAM,Sambhal,Uttar Pradesh,28.58498,78.56959,196109,8,2.83,196108,1.0,16.02,181.6
BHI5,Bhiwāni,Haryana,28.79304,76.13968,196057,8,2.829,196060,1.0,16.01,181.56
PAN4,Panvel,Maharashtra,18.98878,73.11013,195373,8,2.825,195372,1.0,15.96,180.96
AMB3,Ambāla,Haryana,30.36099,76.79782,195153,8,2.824,195156,1.0,15.94,180.8
KUM,Kumarapalayam,Tamil Nadu,11.44495,77.71102,195071,8,2.823,195072,1.0,15.94,180.72
MAC,Machilīpatnam,Andhra Pradesh,16.18747,81.13888,192827,8,2.81,192828,1.0,15.78,178.88
MAH2,Mahesāna,Gujarat,23.59864,72.38472,190753,8,2.797,190752,1.0,15.65,177.2
MAH3,Mahbūbnagar,Telangana,16.74385,77.98597,190400,8,2.795,190400,1.0,15.62,176.92
SAM2,Sambalpur,Odisha,21.46527,83.97573,189366,8,2.788,189364,1.0,15.55,176.04
BHU2,Bhusawal,Maharashtra,21.04365,75.78506,187421,8,2.776,187420,1.0,15.42,174.44
RAE,Raebareli,Uttar Pradesh,26.2309,81.23315,186433,8,2.77,186432,1.0,15.34,173.64
HAR,Haridwar,Uttarakhand,29.94791,78.16025,186079,8,2.768,186076,1.0,15.32,173.32
PHU,Phusro,Jharkhand,23.75644,86.0051,185555,8,2.765,185556,1.0,15.29,172.88
ADO,Adoni,Andhra Pradesh,15.62788,77.27495,184625,8,2.759,184624,1.0,15.22,172.12
SUJ,Sūjāngarh,Rajasthan,27.7,74.46667,183808,8,2.754,183808,1.0,15.17,171.48
SIR,Sirsa,Haryana,29.53489,75.02898,182534,8,2.746,182536,1.0,15.08,170.4
DIN2,Dinapur Nizamat,Bihar,25.63847,85.05118,182429,4,2.745,60811,0.333,7.54,76.86
BAH,Bahraigh,Uttar Pradesh,27.57429,81.59474,182218,8,2.744,182220,1.0,15.06,170.12
KAR4,Kāraikkudi,Tamil Nadu,10.06615,78.76784,181851,8,2.741,181848,1.0,15.03,169.8
SUL,Sultan Pur Majra,Delhi,28.68966,77.07648,181554,2,2.739,30260,0.167,3.75,38.28
GUN3,Guna,Madhya Pradesh,24.64691,77.3113,180935,8,2.735,180936,1.0,14.97,169.04
CHA4,Chandannagar,West Bengal,22.86225,88.36796,180623,6,2.734,90312,0.5,11.21,114.3
BAH2,Baharampur,West Bengal,24.10473,88.25155,180547,8,2.733,180544,1.0,14.94,168.76
SHA2,Shahuwadi,Maharashtra,16.90993,73.94654,180322,8,2.732,180320,1.0,14.92,168.56
MAD2,Madanapalle,Andhra Pradesh,13.5503,78.50288,180180,8,2.731,180180,1.0,14.91,168.44
SHI3,Shivpuri,Madhya Pradesh,25.42378,77.66223,179977,8,2.729,179976,1.0,14.9,168.28
SUR2,Surendranagar,Gujarat,22.72706,71.64856,179628,8,2.727,179628,1.0,14.87,167.96
NEY,Neyveli,Tamil Nadu,11.60877,79.4994,179150,8,2.724,179148,1.0,14.84,167.6
SIL2,Silchar,Assam,24.82733,92.79787,178865,8,2.722,178864,1.0,14.82,167.36
PRO,Proddatūr,Andhra Pradesh,14.7502,78.54813,177797,8,2.715,177796,1.0,14.74,166.44
HUG,Hugli,West Bengal,22.90877,88.39674,177005,4,2.71,59002,0.333,7.35,74.86
HAS,Hashtsāl,Delhi,28.63406,77.05771,176877,8,2.71,147396,0.833,14.68,157.68
