city_code,observed_on,rain_mm_7d,rain_mm_30d,source
VIJ2,2026-09-05,22.8,97.7,open-meteo-era5
SHI2,2026-09-05,10.1,73.5,open-meteo-era5
ALW,2026-09-05,58.6,196.7,open-meteo-era5
SHA,2026-09-05,124.3,335.6,open-meteo-era5
JUN,2026-09-05,15.1,97.9,open-meteo-era5
THR,2026-09-05,8.0,265.9,open-meteo-era5
NIZ,2026-09-05,7.8,88.5,open-meteo-era5
TUM,2026-09-05,17.7,109.1,open-meteo-era5
PAR,2026-09-05,7.0,90.2,open-meteo-era5
HIS,2026-09-05,4.6,83.9,open-meteo-era5
FIR,2026-09-05,97.8,240.2,open-meteo-era5
KUL,2026-09-05,144.6,420.5,open-meteo-era5
KAR,2026-09-05,20.5,147.8,open-meteo-era5
BAR2,2026-09-05,105.6,420.2,open-meteo-era5
GUN2,2026-09-05,16.3,116.9,open-meteo-era5
BAR3,2026-09-05,135.9,417.1,open-meteo-era5
MUL,2026-09-05,11.4,107.4,open-meteo-era5
BIH,2026-09-05,166.7,308.4,open-meteo-era5
RAM2,2026-09-05,155.9,378.9,open-meteo-era5
DAR,2026-09-05,61.4,173.8,open-meteo-era5
PAN2,2026-09-05,24.2,150.3,open-meteo-era5
TIR4,2026-09-05,8.6,55.3,open-meteo-era5
GRE,2026-09-05,59.4,236.5,open-meteo-era5
AIZ,2026-09-05,97.0,311.6,open-meteo-era5
GAN,2026-09-05,3.0,70.8,open-meteo-era5
DIN,2026-09-05,1.4,79.9,open-meteo-era5
THA2,2026-09-05,3.4,27.5,open-meteo-era5
KAR2,2026-09-05,6.4,73.5,open-meteo-era5
DEW,2026-09-05,24.2,213.8,open-meteo-era5
SON,2026-09-05,35.7,198.4,open-meteo-era5
ICH,2026-09-05,13.8,78.4,open-meteo-era5
BAT,2026-09-05,4.1,66.5,open-meteo-era5
JAL3,2026-09-05,8.3,76.3,open-meteo-era5
KIR,2026-09-05,52.5,260.2,open-meteo-era5
SAT,2026-09-05,98.3,480.2,open-meteo-era5
PUR,2026-09-05,69.3,173.8,open-meteo-era5
IMP,2026-09-05,121.8,268.8,open-meteo-era5
SAU,2026-09-05,69.0,325.0,open-meteo-era5
KUS,2026-09-05,109.8,275.3,open-meteo-era5
ROU,2026-09-05,104.2,585.4,open-meteo-era5
DUR2,2026-09-05,73.2,356.4,open-meteo-era5
ANA,2026-09-05,13.6,72.2,open-meteo-era5
RAT,2026-09-05,39.2,203.3,open-meteo-era5
RAN2,2026-09-05,31.3,122.7,open-meteo-era5
ARR,2026-09-05,122.9,289.1,open-meteo-era5
GAJ,2026-09-05,22.5,182.8,open-meteo-era5
ETA,2026-09-05,105.9,352.6,open-meteo-era5
AMB2,2026-09-05,39.7,254.5,open-meteo-era5
NAI,2026-09-05,138.0,358.3,open-meteo-era5
BHA5,2026-09-05,72.4,188.8,open-meteo-era5
BEG,2026-09-05,75.6,219.7,open-meteo-era5
GAN2,2026-09-05,0.7,17.2,open-meteo-era5
MAU,2026-09-05,124.6,309.2,open-meteo-era5
SIK,2026-09-05,14.5,78.9,open-meteo-era5
RAM3,2026-09-05,7.4,113.0,open-meteo-era5
HAP,2026-09-05,60.1,202.9,open-meteo-era5
FAR2,2026-09-05,79.8,318.8,open-meteo-era5
ALA,2026-09-05,9.1,200.8,open-meteo-era5
KAT,2026-09-05,64.6,157.4,open-meteo-era5
SRI2,2026-09-05,3.7,34.3,open-meteo-era5
